구분,총계,2012년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
계,83557 ,4812 ,1851 ,3434 ,4295 ,6840 ,8708 ,11572 ,10627 ,12267 ,11247 ,7904 
종로구,1715 ,815 ,,,195 ,150 ,0 ,261 ,85 ,9 ,200 ,0 
중 구,2447 ,16 ,114 ,87 ,77 ,236 ,240 ,372 ,386 ,155 ,361 ,403 
용산구,2611 ,34 ,71 ,234 ,125 ,221 ,298 ,351 ,125 ,307 ,617 ,228 
성동구,3829 ,163 ,144 ,208 ,107 ,325 ,255 ,967 ,415 ,490 ,472 ,283 
광진구,3211 ,35 ,57 ,100 ,187 ,98 ,52 ,675 ,465 ,712 ,175 ,655 
동대문구,2628 ,4 ,0 ,14 ,16 ,115 ,804 ,814 ,201 ,218 ,223 ,219 
중랑구,3737 ,346 ,21 ,253 ,72 ,132 ,155 ,153 ,174 ,1049 ,934 ,448 
성북구,4602 ,81 ,78 ,170 ,229 ,322 ,594 ,890 ,867 ,714 ,253 ,404 
강북구,3090 ,8 ,0 ,22 ,61 ,124 ,251 ,29 ,391 ,1078 ,656 ,470 
도봉구,1930 ,128 ,22 ,2 ,145 ,172 ,123 ,129 ,222 ,210 ,184 ,593 
노원구,2492 ,0 ,87 ,164 ,77 ,514 ,331 ,175 ,216 ,320 ,387 ,221 
은평구,4131 ,14 ,3 ,44 ,332 ,329 ,555 ,403 ,635 ,1057 ,288 ,471 
서대문구,3055 ,730 ,253 ,155 ,108 ,137 ,223 ,356 ,237 ,343 ,397 ,116 
마포구,2496 ,23 ,19 ,40 ,112 ,185 ,478 ,365 ,373 ,494 ,299 ,108 
양천구,3650 ,71 ,174 ,158 ,134 ,246 ,424 ,577 ,837 ,312 ,346 ,371 
강서구,2744 ,54 ,122 ,104 ,202 ,199 ,168 ,506 ,259 ,457 ,356 ,317 
구로구,4608 ,852 ,216 ,349 ,187 ,268 ,326 ,540 ,488 ,434 ,415 ,533 
금천구,2411 ,0 ,0 ,174 ,80 ,361 ,133 ,196 ,539 ,367 ,513 ,48 
영등포구,4056 ,572 ,136 ,238 ,123 ,209 ,248 ,311 ,658 ,65 ,1213 ,283 
동작구,2306 ,41 ,24 ,25 ,503 ,128 ,253 ,271 ,300 ,322 ,419 ,20 
관악구,5149 ,440 ,84 ,431 ,439 ,609 ,622 ,688 ,674 ,595 ,331 ,236 
서초구,4082 ,8 ,73 ,79 ,70 ,562 ,504 ,1041 ,417 ,339 ,433 ,556 
강남구,6871 ,69 ,67 ,66 ,580 ,830 ,1293 ,988 ,745 ,791 ,926 ,516 
송파구,2897 ,40 ,59 ,90 ,85 ,214 ,176 ,241 ,541 ,1073 ,235 ,143 
강동구,2809 ,268 ,27 ,227 ,49 ,154 ,202 ,273 ,377 ,356 ,614 ,262 
